review_sentiment,text
__label__2,Great CD: My lovely Pat has one of the GREAT voices of her generation. I have listened to this CD for YEARS and I still LOVE IT. When I'm in a good mood it makes me feel better. A bad mood just evaporates like sugar in the rain. This CD just oozes LIFE. Vocals are jusat STUUNNING and lyrics just kill. One of life's hidden gems. This is a desert isle CD in my book. Why she never made it big is just beyond me. Everytime I play this no matter black white young old male female EVERYBODY says one thing "Who was that singing ?"
__label__2,One of the best game music soundtracks - for a game I didn't really play: Despite the fact that I have only played a small portion of the game the music I heard (plus the connection to Chrono Trigger which was great as well) led me to purchase the soundtrack and it remains one of my favorite albums. There is an incredible mix of fun epic and emotional songs. Those sad and beautiful tracks I especially like as there's not too many of those kinds of songs in my other video game soundtracks. I must admit that one of the songs (Life-A Distant Promise) has brought tears to my eyes on many occasions.My one complaint about this soundtrack is that they use guitar fretting effects in many of the songs which I find distracting. But even if those weren't included I would still consider the collection worth it.
__label__1,Batteries died within a year ...: I bought this charger in Jul 2003 and it worked OK for a while. The design is nice and convenient. However after about a year the batteries would not hold a charge. Might as well just get alkaline disposables or look elsewhere for a charger that comes with batteries that have better staying power.
__label__2,works fine but Maha Energy is better: Check out Maha Energy's website. Their Powerex MH-C204F charger works in 100 minutes for rapid charge with option for slower charge (better for batteries). And they have 2200 mAh batteries.
__label__2,Great for the non-audiophile: Reviewed quite a bit of the combo players and was hesitant due to unfavorable reviews and size of machines. I am weaning off my VHS collection but don't want to replace them with DVD's. This unit is well built easy to setup and resolution and special effects (no progressive scan for HDTV owners) suitable for many people looking for a versatile product.Cons- No universal remote.
__label__1,DVD Player crapped out after one year: I also began having the incorrect disc problems that I've read about on here. The VCR still works but hte DVD side is useless. I understand that DVD players sometimes just quit on you but after not even one year? To me that's a sign on bad quality. I'm giving up JVC after this as well. I'm sticking to Sony or giving another brand a shot.
__label__1,Incorrect Disc: I love the style of this but after a couple years the DVD is giving me problems. It doesn't even work anymore and I use my broken PS2 Now. I wouldn't recommend this I'm just going to upgrade to a recorder now. I wish it would work but I guess i'm giving up on JVC. I really did like this one... before it stopped working. The dvd player gave me problems probably after a year of having it.
__label__1,DVD menu select problems: I cannot scroll through a DVD menu that is set up vertically. The triangle keys will only select horizontally. So I cannot select anything on most DVD's besides play. No special features no language select nothing just play.
__label__2,Unique Weird Orientalia from the 1930's: Exotic tales of the Orient from the 1930's. "Dr Shen Fu" a Weird Tales magazine reprint is about the elixir of life that grants immortality at a price. If you're tired of modern authors who all sound alike this is the antidote for you. Owen's palette is loaded with splashes of Chinese and Japanese colours. Marvelous.
__label__1,Not an "ultimate guide": FirstlyI enjoyed the format and tone of the book (how the author addressed the reader). However I did not feel that she imparted any insider secrets that the book promised to reveal. If you are just starting to research law school and do not know all the requirements of admission then this book may be a tremendous help. If you have done your homework and are looking for an edge when it comes to admissions I recommend some more topic-specific books. For example books on how to write your personal statment books geared specifically towards LSAT preparation (Powerscore books were the most helpful for me) and there are some websites with great advice geared towards aiding the individuals whom you are asking to write letters of recommendation. Yet for those new to the entire affair this book can definitely clarify the requirements for you.
__label__2,Great book for travelling Europe: I currently live in Europe and this is the book I recommend for my visitors. It covers many countries colour pictures and is a nice starter for before you go and once you are there.
__label__1,Not!: If you want to listen to El Duke  then it is better if you have access to his showerthis is not him it is a gimmickvery well orchestrated.
__label__1,A complete Bust: This game requires quicktime 5.0 to work...if you have a better version of quicktime (I have 7.5) it will ask you to install the quicktime available on the CD...if you click no it will not let you play. So I begrudgingly clicked yes on the third try and it installed quicktime 5 THEN it tells me to please install the quicktime available on the disc. It KEPT telling me that even after I uninstalled my version of quicktime 7.5 and reinstalled Barbie Rapunzel and quicktime 5. Very frustrating and the game absolutely will not work for me. It keeps telling me over and over to install quicktime 5 tho I've been through the installation process repeatedly. It is NOT my "operating system limitations". This is a brand new computer...merely weeks old with all the state of the art contraptions.
__label__2,TRULY MADE A DIFFERENCE!: I have been using this product for a couple years now. I started using it because my hair had gotten so dry from all the chemical treatments and relaxers. This actualy came in the relaxer kit. I tried it and could not beleive the difference it made with one use. I could not find it in any of the stores at the time so I searched Amazon and they had it. I absolutely love it. It is the best moisturizing product I have used so far. My hair is soft with good elasticity and it is not breaking anywhere close to what it was. I am very happy with it.
__label__1,didn't run off of USB bus power: Was hoping that this drive would run off of bus power but it required the adapter to actually work. :( I sent it back.
__label__1,Don't buy!: First of all the company took my money and sent me an email telling me the product was shipped. A week and a half later I received another email telling me that they are sorry but they don't actually have any of these items and if I received an email telling me it has shipped it was a mistake.When I finally got my money back I went through another company to buy the product and it won't work with my phone even though it depicts that it will. I have sent numerous emails to the company - I can't actually find a phone number on their website - and I still have not gotten any kind of response. What kind of customer service is that? No one will help me with this problem. My advice - don't waste your money!
__label__2,Simple Durable Fun game for all ages: This is an AWESOME game! Almost everyone know tic-tac-toe so it is EASY to learn and quick to play. You can't play just once! The twist is that your pieces are slightly different sizes - just big enough to gobble up your opponent. The first person to make tic-tac-toe wins but it's not as easy as it looks when you're stuck in the mindset of just making three in a row and forget about the gobbling possibilities! My 4 and 5 year olds will beat me even when I'm trying to win! Excellent beginning critical thinking game. Grandparents loved playing it with the kids too.
__label__2,Review of Kelly Club for Toddlers: For the price of 7.99 this PC game is WELL worth it great graphics colorful and lots to do! My four year old daughter is in love with the many tasks to complete in this game including dressing and grooming wide variety of pets and decoration of numerous floats to show in your little one's very own parade.
__label__2,SOY UN APASIONADO DEL BOX: Y ESTE LIBRO ESTÁ ESPLÉNDIDO !Lo disfrutas lo puedes usar como obra de consultaNos trae LAS HISTORIA DE LOS BOXEADORES MÁS BRILLANTES DE LOS CAMPEONES DURANTE CIEN AÑOS !!Si te gusta el box...¡NO TE LO PIERDAS !
__label__2,Some of the best fiddle playing I have heard in a long time: This is an excellent album with some great fiddle playing. Ryan is amazing to watch when he plays in person. You can feel the emotion he puts into each song.
__label__1,Long and boring: I've read this book with much expectation it was very boring all through out the book
__label__1,Dont like it: This product smells when you open the package and it appears one of the gel cushions leaks so I spent $10 and havent worn then. I wouldnt buy this product again. Dont waste your money on something you may not be able to use.
__label__2,one of the last in the series to collect !: The magazine was in very good condition and had the usual high standard of articles and photos that Victoria magazine has come to represent. I have collected all the previous magazines of the series and still enjoy leafing through them on a rainy day
__label__2,Sony Hi8 Camcorder with 2.5 LCD: I believe I will be very happy with the camcorder. Its smalllight and easy to handle.The LCD is clear and bright.Ease of operation.
__label__1,Don't Take the Chance - Get the SE Branded Cable: If you purchase this data cable you need to know that you will receive no real directions or information regarding what to check if nothing works. As directed I downloaded all of the files from the SE site (70MB on dial up!) and then downloaded all of the user guides. Everything seemed to install ok but nothing would make my phone be recognized. After that I scoured the SE site for troubleshooting info on their branded cable-in the hope that something would help me figure out the problem. After 2 full days of beating my head against the wall I finally threw the cable and the useless CD that came with it in the trash.If I had used my brain I would have paid the extra $$ for a SE branded cable and software (and the support that comes along with that). I now have the real deal (SE data cable and software) and guess what? Yep installation was a breeze and it works beautifully. You really do get what you pay for.
__label__1,Waste of money!: Like many of the Barbie CD Roms the playtime is limited - averaging about 5 mins for each of my two daughters (ages 5 & 7). Like the Barbie movies and other CD Roms the graphics are poorly done.
__label__2,works great: i bought this item to connect to a strobe light. unit functions well. not sure that it has all the range claimed but i never really believe everything a manufacturer claims about a product like this. just too many variables. I can say it works from my neighbors house into my garage; at least 40' going thru two buildings. now if i make too much noise later at night he can simply press a button to let me know.
__label__1,Has No Range: I suppose if you were going to sit in the same room and have line-of-sight with the device lamp etc. plugged into this control it might work. Maybe. But I had it completely within the stated range and one basic house wall separating me and the unit and it was completely unreliable.I'd recommend spending a touch more money and getting a higher quality product.
__label__2,wish i had gotten this sooner!: ive got a lamp in the corner of my room behind my desk thats a complete pain in the arse to turn on and off. ive been using this with the lamp for a month now and it works perfectly. added a little velcro and now i have a light switch where ever i want. under my desk shelf etc.
__label__1,Three Days of Use and It Broke: Very disappointed in this product. It worked perfectly for exactly three days and could not be resuscitated. It was very inexpensive so I did not want to pay half again the price to ship it back for an exchange so the company would do nothing when they sent me an inquiry as to product satisfaction.
__label__2,This is the all time best book!: This is the all time best book. She mentoins in the book how anyone can be a vampire who knows. Well anyway I like the idea of having one soulmate and one crazed werewolf crush. P.S I think that it is a good twist on the story about how anone can be part of the night world.
__label__2,Mary Ash: Can't believe I have never reviewed this book before. First read this back when I was 13. Like a lot of girls wanting the mysterious boyfriend and believed in soul-mates which drug me into these books. Rereading it over time years later still stands the test of time for me. Ash is that bad boy you want and your parents want you to stay away from even though he seems like a jerk there is just something about him that make you wanna root for him.
__label__2,Tha BOMB of a book!!: L.J. Smith is the best author in the whole world. I read this book a year ago but I can't stop reading it. It is beyond sweet. I love Ash.The entire Night World seris is the bomb. I read mostly everyone of L.J Smiths book and they all are awesome. I think Ash and Mary Lynetee are one of the sweetest soulmates. I loved how they tried to fight there feelings but couldn't. There should be real guys like AshQuinnJuliunDamonGabriel and I can go on forever. I think everyone should read at least one L.J Smith book. If you do you'll be hooked on them for lifelike I am. L.J Smith is the BEST!!!!
__label__2,This book was a great book that i have read many times!: This book was so great! I loved and read it so many times that i will soon have to buy a new copy because my last one fell apart. I just hope that there is a follow up on this story because I want to know if Mary-Lynette and Ash get together.
__label__2,They'd watch it nonstop if I'd let them: apart from it arriving broken the first time my kids are loving this DVD which I alternate with the other I purchased to keep my own sanity. This DVD has created a Thomas fan out of my 3 1/2 yr. old daughter as well.
